country,year,expectancy
Afghanistan,2008,42
Albania,2008,73
Algeria,2008,71
Angola,2008,46
Antigua and Barbuda,2008,74
Argentina,2008,76
Armenia,2008,70
Australia,2008,82
Austria,2008,80
Azerbaijan,2008,68
Bahamas,2008,75
Bahrain,2008,75
Bangladesh,2008,65
Barbados,2008,74
Belarus,2008,70
Belgium,2008,80
Belize,2008,72
Benin,2008,57
Bhutan,2008,63
Bolivia (Plurinational State of),2008,67
Bosnia and Herzegovina,2008,75
Botswana,2008,61
Brazil,2008,73
Brunei Darussalam,2008,76
Bulgaria,2008,73
Burkina Faso,2008,51
Burundi,2008,50
Cambodia,2008,62
Cameroon,2008,53
Canada,2008,81
Cape Verde,2008,71
Central African Republic,2008,48
Chad,2008,46
Chile,2008,78
China,2008,74
Colombia,2008,75
Comoros,2008,60
Congo,2008,54
Costa Rica,2008,78
Croatia,2008,76
Cuba,2008,77
Cyprus,2008,80
Czech Republic,2008,77
Côte d'Ivoire,2008,56
Democratic People's Republic of Korea,2008,67
Denmark,2008,79
Djibouti,2008,59
Dominica,2008,74
Dominican Republic,2008,73
Ecuador,2008,73
Egypt,2008,69
El Salvador,2008,72
Equatorial Guinea,2008,53
Eritrea,2008,65
Estonia,2008,74
Ethiopia,2008,58
Fiji,2008,70
Finland,2008,80
France,2008,81
Gabon,2008,60
Gambia,2008,59
Georgia,2008,72
Germany,2008,80
Ghana,2008,62
Greece,2008,80
Grenada,2008,69
Guatemala,2008,69
Guinea,2008,54
Guinea-Bissau,2008,49
Guyana,2008,65
Haiti,2008,62
Honduras,2008,70
Hungary,2008,74
Iceland,2008,82
India,2008,64
Indonesia,2008,67
Iran (Islamic Republic of),2008,72
Iraq,2008,63
Ireland,2008,80
Israel,2008,81
Italy,2008,82
Jamaica,2008,72
Japan,2008,83
Jordan,2008,72
Kazakhstan,2008,64
Kenya,2008,54
Kiribati,2008,67
Kuwait,2008,78
Kyrgyzstan,2008,66
Lao People's Democratic Republic,2008,62
Latvia,2008,71
Lebanon,2008,72
Lesotho,2008,47
Liberia,2008,54
Libyan Arab Jamahiriya,2008,73
Lithuania,2008,72
Luxembourg,2008,80
Madagascar,2008,60
Malawi,2008,53
Malaysia,2008,73
Maldives,2008,74
Mali,2008,49
Malta,2008,80
Marshall Islands,2008,59
Mauritania,2008,58
Mauritius,2008,73
Mexico,2008,76
Micronesia (Federated States of),2008,69
Monaco,2008,82
Mongolia,2008,68
Montenegro,2008,74
Morocco,2008,72
Mozambique,2008,51
Myanmar,2008,54
Namibia,2008,63
Nepal,2008,63
Netherlands,2008,80
New Zealand,2008,81
Nicaragua,2008,74
Niger,2008,52
Nigeria,2008,49
Norway,2008,81
Oman,2008,74
Pakistan,2008,63
Palau,2008,72
Panama,2008,76
Papua New Guinea,2008,62
Paraguay,2008,74
Peru,2008,76
Philippines,2008,70
Poland,2008,76
Portugal,2008,79
Qatar,2008,76
Republic of Korea,2008,80
Republic of Moldova,2008,69
Romania,2008,73
Russian Federation,2008,68
Rwanda,2008,58
Saint Kitts and Nevis,2008,73
Saint Lucia,2008,75
Saint Vincent and the Grenadines,2008,71
Samoa,2008,68
San Marino,2008,83
Sao Tome and Principe,2008,61
Saudi Arabia,2008,72
Senegal,2008,59
Serbia,2008,74
Seychelles,2008,72
Sierra Leone,2008,49
Singapore,2008,81
Slovakia,2008,75
Slovenia,2008,79
Solomon Islands,2008,70
Somalia,2008,48
South Africa,2008,53
Spain,2008,81
Sri Lanka,2008,69
Sudan,2008,57
Suriname,2008,71
Swaziland,2008,48
Sweden,2008,81
Switzerland,2008,82
Syrian Arab Republic,2008,72
Tajikistan,2008,67
Thailand,2008,70
The former Yugoslav Republic of Macedonia,2008,74
Timor-Leste,2008,62
Togo,2008,59
Tonga,2008,71
Trinidad and Tobago,2008,70
Tunisia,2008,75
Turkey,2008,74
Turkmenistan,2008,63
Uganda,2008,52
Ukraine,2008,68
United Arab Emirates,2008,78
United Kingdom,2008,80
United Republic of Tanzania,2008,53
United States of America,2008,78
Uruguay,2008,75
Uzbekistan,2008,68
Vanuatu,2008,69
Venezuela (Bolivarian Republic of),2008,75
Viet Nam,2008,73
Yemen,2008,64
Zambia,2008,48
Zimbabwe,2008,42
