Warehouse Number	Address	City	State	Zip Code	Phone Number	Opening Date	Latitude 	Longitude
401	4605 Morena Boulevard	San Diego	California	92117	(858) 270-6920	7/12/76	32.822417	-117.226902
403	101 Town Center Parkway	Santee	California	92071-5899	(619) 562-3227	9/9/79	32.841335	-116.988465
407	6255 East Grant Road	Tucson	Arizona	85712-5834	(520) 886-6376	5/24/82	32.250858	-110.859283
410	12324 Hoxie Avenue	Norwalk	California	90650-2266	(562) 929-0826	4/18/83	33.920861	-118.103543
411	17900 Newhope Street	Fountain Valley	California	92708-5404	(714) 338-2183	8/15/83	33.703509	-117.93436
1	4401 4th Avenue South	Seattle	Washington	98134-2389	(206) 674-1220	9/15/83	38.967291	-77.380416
412	1220 West Foothill Boulevard	Azusa	California	91702-2819	(626) 812-7911	10/24/83	34.133397	-117.925548
2	4849 NE 138th Ave	Portland	Oregon	97230-3401	(503) 258-3700	10/27/83	37.416397	-122.025055
471	1600 Expo Parkway	Sacramento	California	95815-4228	(916) 563-7002	8/6/84	38.597956	-121.454481
6	400 Costco Drive Suite 150	Tukwila	Washington	98188-4808	(206) 575-9191	8/30/84	37.423109	-122.085598
10	330 West Dimond Blvd	Anchorage	Alaska	99515-1950	(907) 349-2335	10/25/84	61.144519	-149.885575
202	850 Glenrock Road	Norfolk	Virginia	23502-3702	(757) 459-4471	11/19/84	36.851743	-76.200459
418	900 South Harbor Boulevard	Fullerton	California	92832-3098	(714) 738-7521	11/26/84	33.862557	-117.924201
8	8629 120th Avenue NE	Kirkland	Washington	98033-5865	(425) 827-1693	8/30/85	47.68024	-122.180759
31	4500 W Shaw	Fresno	California	93722-6200	(559) 271-6511	9/12/85	36.808488	-119.874039
9	15901 SW Jenkins	Aloha	Oregon	97006-5098	(503) 644-7615	10/29/85	45.507928	-122.841526
203	575 East Ordnance Road	Glen Burnie	Maryland	21060-6575	(410) 590-8603	11/15/85	39.196935	-76.597044
420	2001 East Ventura Boulevard	Oxnard	California	93030-1813	(805) 983-4200	11/18/85	34.223773	-119.149583
423	150 Lawrence Station Road	Sunnyvale	California	94086-5328	(408) 470-8000	7/12/86	37.37238	-121.996132
38	1616 East Hammer Lane	Stockton	California	95210-4119	(209) 478-2045	10/23/86	38.020717	-121.29218
41	1900 Santa Rosa Avenue	Santa Rosa	California	95407-7636	(707) 566-6420	11/11/86	38.420028	-122.713355
424	2200 East Willow Street	Signal Hill	California	90806-2132	(562) 427-2537	11/24/86	33.804266	-118.165351
13	10000 Mickelberry Rd. NW	Silverdale	Washington	98383-8302	(360) 692-1140	11/25/86	47.655552	-122.682094
204	4725 West Ox Road	Fairfax	Virginia	22030-6101	(703) 332-3200	11/28/86	38.850486	-77.372628
44	21300 Roscoe Boulevard	Canoga Park	California	91304-4200	(818) 884-9099	12/18/86	34.219763	-118.595655
422	451 South Airport Boulevard	South San Francisco	California	94080-6909	(650) 872-2021	5/18/87	37.641433	-122.402387
427	15255 North Hayden Road	Scottsdale	Arizona	85260-2507	(480) 948-5040	7/6/87	33.624013	-111.901843
206	3000 Middle Country Road	Nesconset	New York	11767-1072	(631) 366-1504	7/13/87	40.8621	-73.129359
428	2207 West Commonwealth Avenue	Alhambra	California	91803-1302	(626) 289-7164	8/24/87	34.088012	-118.148593
429	33961 Doheny Park Road	San Juan Capistrano	California	92675-4836	(949) 240-3558	12/4/87	33.46946	-117.675789
208	9919 Pulaski Highway	Baltimore	Maryland	21220-1423	(410) 574-7563	3/12/88	39.35896	-76.447271
432	480 McKinley Street	Corona	California	92879-1291	(951) 279-1190	11/7/88	33.890187	-117.52134
25	2200 Harvard Way	Reno	Nevada	89502-4000	(775) 689-2200	11/9/88	39.50374	-119.785627
24	1335 South Bradley	Santa Maria	California	93454-8006	(805) 922-9887	11/22/88	34.936738	-120.419455
88	1800 West Sample Road	Pompano Beach	Florida	33064-1324	(954) 968-7114	11/29/88	26.274314	-80.148639
61	35100 Enchanted Parkway South	Federal Way	Washington	98003-8314	(253) 874-3652	3/9/89	47.287206	-122.313341
21	3150 Fostoria Way	Danville	California	94526-5553	(925) 277-0407	3/16/89	37.781645	-121.972368
431	3901 West Costco Drive	Tucson	Arizona	85741-2864	(520) 797-1980	4/24/89	32.32717	-111.048009
93	3250 Northlake Boulevard	Lake Park	Florida	33403-1702	(561) 624-1693	5/18/89	26.808186	-80.086313
661	3801 Pelandale Ave.	Modesto	California	95356-8300	(209) 342-4903	8/10/89	37.700208	-121.066252
91	1890 South University Drive	Davie	Florida	33324-5847	(954) 370-8990	8/17/89	26.096656	-80.250899
437	8810 Tampa Avenue	Northridge	California	91324-3519	(818) 775-1860	9/23/89	34.230202	-118.55338
92	8300 Park Boulevard	Miami	Florida	33126-3832	(305) 267-0641	10/26/89	25.77357	-80.331057
48	6100 Sepulveda Boulevard	Van Nuys	California	91411-2503	(818) 464-1480	11/9/89	34.181322	-118.466013
17	2828 Chad Drive	Eugene	Oregon	97408-7337	(541) 285-2000	11/9/89	44.089963	-123.065602
436	1445 West Elliot Road	Tempe	Arizona	85284-1103	(480) 496-6651	11/11/89	33.348897	-111.961343
131	801 Tioga Avenue	Sand City	California	93955-3051	(831) 899-1256	11/16/89	36.616944	-121.846916
132	198 Plaza Drive	Vallejo	California	94591-3702	(707) 553-6400	12/7/89	38.132065	-122.215414
28	27972 Cabot Road	Laguna Niguel	California	92677-1211	(949) 364-0217	3/1/90	33.556837	-117.678726
133	1300 Dana Drive	Redding	California	96003-4071	(530) 222-0199	4/5/90	40.585787	-122.347285
214	10925 Baltimore Avenue (Route 1)	Beltsville	Maryland	20705-2117	(301) 902-2643	6/2/90	39.03295	-76.909902
438	11260 White Rock Road	Rancho Cordova	California	95742-6571	(916) 724-2240	6/23/90	38.589837	-121.263124
213	880 Russell Avenue	Gaithersburg	Maryland	20879-3506	(301) 417-1503	7/28/90	39.156746	-77.212555
440	6400 West 92nd Avenue	Westminster	Colorado	80031-2952	(303) 650-1476	11/3/90	39.863305	-105.052659
439	1471 South Havana	Aurora	Colorado	80012-4013	(303) 750-2116	11/3/90	39.68992	-104.866135
217	3700 Price Club Boulevard	Midlothian	Virginia	23112-3371	(804) 674-4337	11/3/90	37.439169	-77.586471
302	119 Daggett Drive	West Springfield	Massachusetts	01089-4672	(413) 747-5518	11/8/90	42.132446	-72.621441
218	21398 Price/Cascades Plaza	Sterling	Virginia	20164-6607	(703) 406-6500	11/17/90	39.023253	-77.401456
135	380 West Ashlan Avenue	Clovis	California	93612-5611	(559) 291-3377	11/19/90	36.793828	-119.717378
301	11 Newbury Street (Route 1)	Danvers	Massachusetts	01923-1014	(978) 750-1000	11/29/90	42.556851	-70.978901
441	72-800 Dinah Shore Drive	Palm Desert	California	92211-0817	(760) 770-2810	3/9/91	33.80191	-116.392599
443	7900 West Quincy Avenue	Littleton	Colorado	80123-2472	(303) 933-4931	8/3/91	39.638525	-105.085107
180	1873 West Lantana Road	Lantana	Florida	33462-2698	(561) 533-0958	8/20/91	26.587311	-80.066511
303	120 Stockwell Drive	Avon	Massachusetts	02322-1149	(508) 232-4000	9/12/91	42.13492	-71.067637
221	77 Willowbrook Boulevard	Wayne	New Jersey	07470-7055	(973) 812-8661	9/28/91	40.888214	-74.251656
65	3639 Crater Lake Highway	Medford	Oregon	97504-9259	(541) 734-4227	10/29/91	42.368551	-122.856221
19	4299 Guide Meridian Street	Bellingham	Washington	98226-6475	(360) 671-6947	11/13/91	48.797345	-122.486206
64	5500 Littlerock Road	Tumwater	Washington	98512-7363	(360) 357-9743	11/14/91	46.997635	-122.916983
304	200 Federal Road	Brookfield	Connecticut	06804-2527	(203) 740-7623	11/21/91	41.443278	-73.404945
445	22633 Savi Ranch Parkway	Yorba Linda	California	92887-4664	(714) 282-6650	11/23/91	33.875629	-117.741348
205	9650 West Broad Street	Glen Allen	Virginia	23060-4115	(804) 727-3050	11/23/91	37.641354	-77.561749
67	3220 Northern Pacific Avenue	Missoula	Montana	59808-1338	(406) 543-6445	11/27/91	46.894147	-114.038041
69	2290 King Avenue West	Billings	Montana	59102-7415	(406) 652-8765	12/5/91	45.754881	-108.572195
222	2835 Route 35 South	Hazlet	New Jersey	07730-1516	(732) 335-3800	12/7/91	40.417196	-74.170446
141	300 Vintage Way	Novato	California	94945-5007	(415) 899-1332	3/11/92	38.086469	-122.55158
307	311 Daniel Webster Highway	Nashua	New Hampshire	03060-5702	(603) 888-3640	3/18/92	42.702728	-71.441137
68	1010 Hawthorne Avenue SE	Salem	Oregon	97301-5090	(503) 371-1729	3/26/92	44.919399	-122.996699
121	2030 North Imperial Avenue	El Centro	California	92243-1323	(760) 353-2380	5/14/92	32.812356	-115.570156
447	18649 Via Princessa	Santa Clarita	California	91387-4935	(661) 250-2818	5/30/92	34.403704	-118.461784
225	10701 Sudley Manor Drive	Manassas	Virginia	20109-2845	(703) 368-7579	6/27/92	38.786793	-77.515824
305	50 Overlook Boulevard	Nanuet	New York	10954-5292	(845) 425-1469	6/30/92	41.108241	-74.024575
306	20 Bridewell Place	Clifton	New Jersey	07014-1724	(973) 779-8715	7/1/92	40.830526	-74.136122
120	333A Keahole Street	Honolulu (Oahu)	Hawaii	96825-3428	(808) 396-5538	9/3/92	21.285071	-157.709152
455	12700 Day Street	Moreno Valley	California	92553-7531	(951) 697-8900	9/26/92	33.936088	-117.278572
122	2655 El Camino Real	Tustin	California	92782-8918	(714) 838-7895	10/1/92	33.726996	-117.796391
