store_num	year	month	day	lat	lng	store	
1	1962	7	1	36.33445	-94.1789	walmart	
2	1964	8	1	36.2505865	-93.1194921	walmart	
4	1965	8	1	36.1832	-94.5126	walmart	
7	1967	10	1	34.836135	-92.23114	walmart	
8	1967	10	1	35.1688084	-92.7241084	walmart	
9	1968	3	1	36.8953987	-89.5951216	walmart	
11	1968	3	1	36.3353449	-92.3851593	walmart	
10	1968	7	1	35.890821	-94.9772085	walmart	
12	1968	7	1	36.2951025	-95.6293902	walmart	
13	1968	11	1	37.1420062	-94.3105152	walmart	
14	1969	4	1	37.6586644	-92.6494284	walmart	
16	1969	4	1	35.469092	-94.35383	walmart	
15	1969	5	1	36.7281154	-91.8523711	walmart	
17	1969	5	1	36.8414675	-94.3944027	walmart	
18	1969	11	1	35.6048018	-91.2817951	walmart	
21	1970	3	1	37.825777	-92.1456543	walmart	
20	1970	10	1	38.3661452	-93.7492822	walmart	
22	1970	10	1	36.3001547	-95.3213719	walmart	
23	1970	11	1	32.5232053	-92.637927	walmart	
26	1970	11	1	39.2692761	-94.9279668	walmart	
25	1971	2	1	39.1204084	-91.8936417	walmart	
27	1971	2	1	37.6455993	-91.5359808	walmart	
24	1971	4	1	34.885328	-92.111429	walmart	
28	1971	5	1	36.9039089	-94.8775294	walmart	
31	1971	6	1	35.0937379	-94.6312255	walmart	
32	1971	6	1	36.641646	-93.261026	walmart	
33	1971	6	1	33.9352271	-93.851393	walmart	
29	1971	8	1	38.581045	-92.2158651	walmart	
37	1971	9	1	37.7886088	-90.4342822	walmart	
35	1971	10	1	39.18853	-96.556228	walmart	
3665	1971	10	1	18.4291076	-66.0879893	walmart	
30	1971	11	1	36.6270819	-94.9842948	walmart	
34	1971	11	1	37.8392052	-94.3546719	walmart	
36	1971	11	1	36.0599423	-90.524673	walmart	
40	1971	11	1	39.4324837	-92.4537254	walmart	
3666	1971	11	11	18.3324326	-65.9868798	walmart	
38	1971	12	9	33.895514	-94.8007442	walmart	
44	1972	2	1	38.3483636	-92.5815759	walmart	
39	1972	3	1	37.8075764	-94.7053122	walmart	
5	1972	5	1	35.108764	-92.436877	walmart	
41	1972	5	1	36.7396336	-95.9329843	walmart	
43	1972	5	1	39.0218082	-96.8236179	walmart	
59	1972	5	1	37.0842271	-94.513281	walmart	
54	1972	6	1	36.166202	-94.146317	walmart	
47	1972	7	1	35.4489358	-94.8122278	walmart	
52	1972	7	1	34.4930755	-93.0896072	walmart	
45	1972	8	1	35.819631	-90.685407	walmart	
46	1972	8	1	37.5918505	-93.4034657	walmart	
49	1972	10	1	34.0106263	-95.4971392	walmart	
55	1972	10	1	35.1419976	-93.9013812	walmart	
57	1972	10	1	36.07649	-90.974407	walmart	
48	1972	11	1	36.9135101	-93.8868061	walmart	
61	1972	11	1	38.7791536	-93.7372189	walmart	
62	1972	11	1	35.887828	-89.990156	walmart	
42	1973	2	1	37.0254057	-95.6382358	walmart	
64	1973	2	1	35.5838801	-89.2423744	walmart	
51	1973	5	1	38.8639503	-91.9439286	walmart	
58	1973	5	1	35.278206	-93.10663	walmart	
80	1973	6	1	38.956546	-92.382327	walmart	
81	1973	6	1	35.81453	-94.6285553	walmart	
67	1973	7	1	34.588519	-94.225886	walmart	
65	1973	7	3	38.2211193	-91.1578726	walmart	
56	1973	8	1	36.9622416	-92.6768395	walmart	
66	1973	8	1	35.4480325	-93.4566663	walmart	
68	1973	8	1	35.251798	-90.969572	walmart	
50	1973	9	1	36.6372707	-95.1430809	walmart	
63	1973	9	1	35.9573469	-95.3952036	walmart	
78	1973	9	1	37.2956875	-92.9976792	walmart	
71	1973	11	1	36.248835	-90.963444	walmart	
74	1973	11	1	35.696603	-89.984133	walmart	
76	1973	11	1	36.3777109	-93.5851044	walmart	
69	1973	12	1	38.2129439	-90.3908651	walmart	
86	1973	12	1	37.248551	-93.313068	walmart	
72	1974	1	1	37.4334054	-94.7048914	walmart	
88	1974	2	1	37.149922	-92.2627216	walmart	
89	1974	2	1	38.0080902	-92.7446289	walmart	
79	1974	4	1	37.08466	-94.546486	walmart	
82	1974	4	1	37.702858	-89.8952741	walmart	
85	1974	4	1	34.5814442	-92.5775125	walmart	
90	1974	4	1	36.5821023	-94.7691293	walmart	
92	1974	4	1	36.9456734	-93.7186035	walmart	
70	1974	7	1	35.167739	-90.199513	walmart	
87	1974	7	1	32.6276768	-93.2480362	walmart	
94	1974	7	1	35.356236	-89.895955	walmart	
104	1974	7	1	35.878314	-88.745571	walmart	
83	1974	8	1	33.2453491	-93.2299663	walmart	
105	1974	8	1	34.9088242	-88.5351542	walmart	
106	1974	8	1	36.5142866	-88.892821	walmart	
91	1974	9	1	-34.0710473	18.45706	walmart	
102	1974	9	1	34.476961	-91.5491739	walmart	
73	1974	10	1	35.988316	-96.1255604	walmart	
93	1974	10	1	35.543752	-89.664694	walmart	
95	1974	10	1	37.8764914	-90.5122435	walmart	
96	1974	10	1	38.6533445	-94.3488372	walmart	
100	1974	10	1	36.3682	-94.224	walmart	
107	1974	10	1	36.3539237	-88.8823139	walmart	
97	1974	11	1	35.761265	-89.543483	walmart	
98	1975	2	1	32.7734504	-91.870529	walmart	
108	1975	2	1	35.8629589	-97.4253643	walmart	
109	1975	2	1	39.7539303	-94.234286	walmart	
60	1975	3	1	38.988051	-90.982338	walmart	
124	1975	3	1	34.667801	-92.377131	walmart	
112	1975	4	1	33.4391227	-88.8571048	walmart	
114	1975	4	1	34.6753624	-88.5635418	walmart	
125	1975	4	1	35.3278361	-94.4101531	walmart	
117	1975	6	1	34.0222993	-94.7395487	walmart	
123	1975	6	1	35.2481206	-96.6547552	walmart	
113	1975	7	1	35.0304654	-97.9325756	walmart	
129	1975	7	1	34.1932868	-97.1431816	walmart	
130	1975	7	1	35.7698122	-95.3744861	walmart	
103	1975	8	1	35.3853919	-96.9287363	walmart	
116	1975	8	1	32.8576563	-93.9847877	walmart	
121	1975	9	1	35.6080899	-95.9617998	walmart	
111	1975	11	1	37.652938	-95.4525772	walmart	
122	1975	11	1	37.3626	-89.6345	walmart	
131	1975	11	1	33.134894	-94.96767	walmart	
99	1976	2	1	38.4333523	-90.9721332	walmart	
101	1976	2	1	37.937606	-91.778605	walmart	
127	1976	2	1	34.3853526	-92.8280784	walmart	
132	1976	2	1	35.8276229	-97.9459715	walmart	
119	1976	3	1	35.7647934	-91.6139684	walmart	
120	1976	3	1	35.8415315	-88.914886	walmart	
126	1976	3	1	34.74856	-92.4098379	walmart	
146	1976	3	1	32.7455439	-94.9402416	walmart	
118	1976	4	1	33.9678128	-88.4593479	walmart	
135	1976	4	1	39.7775149	-93.5541095	walmart	
136	1976	4	1	36.8103995	-97.2977021	walmart	
133	1976	5	1	33.65154	-94.138234	walmart	
141	1976	5	1	35.348736	-94.341697	walmart	
143	1976	6	1	36.8666673	-88.35897	walmart	
148	1976	6	1	33.664185	-95.505888	walmart	
139	1976	7	1	34.9860072	-97.3683078	walmart	
147	1976	7	1	33.779181	-96.571341	walmart	
134	1976	8	1	35.4117272	-99.4432861	walmart	
115	1976	9	1	33.5903942	-88.6620892	walmart	
140	1976	9	1	31.2977092	-94.7283603	walmart	
144	1976	9	1	36.05056	-94.210405	walmart	
137	1976	10	1	36.1234846	-97.0514518	walmart	
145	1976	10	1	39.3419891	-91.1951437	walmart	
150	1976	10	1	36.4159363	-99.3830731	walmart	
153	1976	10	1	34.4915485	-89.0283082	walmart	
152	1976	12	1	38.1489509	-90.577519	walmart	
156	1977	1	1	36.0633875	-89.7162516	walmart	
157	1977	1	1	35.2505516	-91.7098668	walmart	
160	1977	1	1	36.241062	-91.595348	walmart	
163	1977	2	1	31.6490718	-94.6553143	walmart	
164	1977	2	1	34.2846613	-89.0257868	walmart	
179	1977	2	1	37.180509	-93.352238	walmart	
149	1977	3	1	32.2412672	-92.7159853	walmart	
151	1977	3	1	34.9136652	-95.7451363	walmart	
159	1977	3	1	38.954989	-92.295998	walmart	
166	1977	3	1	37.319803	-91.9587467	walmart	
167	1977	4	1	33.137825	-91.9418479	walmart	
158	1977	5	1	33.504001	-96.233851	walmart	
161	1977	5	1	35.996816	-88.4393211	walmart	
165	1977	5	1	32.1329799	-94.8030834	walmart	
162	1977	6	1	35.057831	-98.2473139	walmart	
172	1977	7	1	38.0044675	-90.8597611	walmart	
176	1977	7	1	34.7225684	-88.9498606	walmart	
188	1977	7	1	37.2173565	-89.5438103	walmart	
189	1977	7	1	40.2211536	-92.5826943	walmart	
190	1977	7	1	36.2366323	-90.0406233	walmart	
195	1977	7	1	39.329943	-94.2651039	walmart	
196	1977	7	1	37.736513	-89.1849839	walmart	
197	1977	7	1	40.4586145	-90.6411188	walmart	
198	1977	7	1	38.6225441	-88.9875278	walmart	
199	1977	7	1	40.1567881	-89.3963434	walmart	
200	1977	7	1	39.7230497	-90.2640196	walmart	
201	1977	7	1	38.5164786	-89.897282	walmart	
155	1977	8	1	34.628774	-89.968528	walmart	
169	1977	9	1	34.8104932	-91.8949514	walmart	
170	1977	10	1	31.7528309	-93.0688411	walmart	
173	1977	10	1	37.9248197	-90.7727323	walmart	
183	1977	10	1	33.1113126	-89.0805773	walmart	
138	1977	11	1	37.24141	-93.258638	walmart	
171	1977	11	1	33.5692216	-92.8382987	walmart	
175	1977	11	1	35.04768	-89.681536	walmart	
177	1977	11	1	36.3020023	-88.3267107	walmart	
178	1977	11	1	36.7977892	-98.6525962	walmart	
186	1977	11	1	37.819208	-96.88994	walmart	
212	1977	11	1	35.221159	-97.483344	walmart	
3667	1977	11	27	18.4063921	-65.9611331	walmart	
184	1978	2	1	39.0268267	-94.2551724	walmart	
168	1978	2	7	36.294506	-95.838149	walmart	
204	1978	2	14	37.1077225	-87.9179851	walmart	
180	1978	3	14	31.951713	-95.264014	walmart	
207	1978	3	21	36.3178642	-96.4642562	walmart	
205	1978	3	28	32.7696444	-89.1294248	walmart	
206	1978	3	28	33.221404	-96.629823	walmart	
208	1978	4	4	37.0062489	-94.7392756	walmart	
213	1978	5	16	39.182656	-89.6673131	walmart	
209	1978	6	1	35.5023057	-93.8447484	walmart	
224	1978	6	13	38.30974	-88.961191	walmart	
210	1978	7	18	35.0867905	-96.3856589	walmart	
128	1978	8	1	35.816042	-90.73359	walmart	
181	1978	8	8	33.4723743	-94.406335	walmart	
203	1978	8	29	39.7686719	-93.066402	walmart	
217	1978	9	5	33.0471379	-97.013426	walmart	
211	1978	9	12	32.005311	-97.0989015	walmart	
228	1978	9	19	32.3602839	-97.3602054	walmart	
231	1978	9	19	34.7891363	-96.6523795	walmart	
232	1978	9	19	34.3705826	-96.1377269	walmart	
219	1978	10	3	38.7091993	-93.2671479	walmart	
214	1978	10	10	30.9057519	-94.0147394	walmart	
227	1978	10	10	35.5105779	-97.97267	walmart	
