LAUS_CODE,STATE_FIPS,COUNTY_FIPS,COUNTY,MONTH,RATE
CN010010,01,001,"Autauga County, AL",Aug-10(p),8.1
PA011000,01,003,"Baldwin County, AL",Aug-10(p),8.2
CN010050,01,005,"Barbour County, AL",Aug-10(p),11.6
CN010070,01,007,"Bibb County, AL",Aug-10(p),10.1
CN010090,01,009,"Blount County, AL",Aug-10(p),8.3
CN010110,01,011,"Bullock County, AL",Aug-10(p),15.0
CN010130,01,013,"Butler County, AL",Aug-10(p),12.2
PA010250,01,015,"Calhoun County, AL",Aug-10(p),9.1
CN010170,01,017,"Chambers County, AL",Aug-10(p),13.6
CN010190,01,019,"Cherokee County, AL",Aug-10(p),8.8
CN010210,01,021,"Chilton County, AL",Aug-10(p),9.4
CN010230,01,023,"Choctaw County, AL",Aug-10(p),11.1
CN010250,01,025,"Clarke County, AL",Aug-10(p),15.8
CN010270,01,027,"Clay County, AL",Aug-10(p),13.3
CN010290,01,029,"Cleburne County, AL",Aug-10(p),8.4
CN010310,01,031,"Coffee County, AL",Aug-10(p),7.3
PA010900,01,033,"Colbert County, AL",Aug-10(p),9.2
CN010350,01,035,"Conecuh County, AL",Aug-10(p),15.4
CN010370,01,037,"Coosa County, AL",Aug-10(p),12.2
CN010390,01,039,"Covington County, AL",Aug-10(p),8.7
CN010410,01,041,"Crenshaw County, AL",Aug-10(p),8.7
PA010400,01,043,"Cullman County, AL",Aug-10(p),8.6
PA010450,01,045,"Dale County, AL",Aug-10(p),7.8
PA010500,01,047,"Dallas County, AL",Aug-10(p),17.8
PA010270,01,049,"DeKalb County, AL",Aug-10(p),11.1
CN010510,01,051,"Elmore County, AL",Aug-10(p),8.3
CN010530,01,053,"Escambia County, AL",Aug-10(p),10.9
PS010010,01,055,"Etowah County, AL",Aug-10(p),9.2
CN010570,01,057,"Fayette County, AL",Aug-10(p),11.4
CN010590,01,059,"Franklin County, AL",Aug-10(p),9.7
CN010610,01,061,"Geneva County, AL",Aug-10(p),8.8
CN010630,01,063,"Greene County, AL",Aug-10(p),18.8
CN010650,01,065,"Hale County, AL",Aug-10(p),11.3
CN010670,01,067,"Henry County, AL",Aug-10(p),9.3
PA010550,01,069,"Houston County, AL",Aug-10(p),7.9
PA010570,01,071,"Jackson County, AL",Aug-10(p),9.5
PS010050,01,073,"Jefferson County, AL",Aug-10(p),9.4
CN010750,01,075,"Lamar County, AL",Aug-10(p),13.1
PA010600,01,077,"Lauderdale County, AL",Aug-10(p),8.6
CN010790,01,079,"Lawrence County, AL",Aug-10(p),9.9
PA010650,01,081,"Lee County, AL",Aug-10(p),7.8
CN010830,01,083,"Limestone County, AL",Aug-10(p),7.4
CN010850,01,085,"Lowndes County, AL",Aug-10(p),15.5
CN010870,01,087,"Macon County, AL",Aug-10(p),11.7
CN010890,01,089,"Madison County, AL",Aug-10(p),7.1
CN010910,01,091,"Marengo County, AL",Aug-10(p),12.5
CN010930,01,093,"Marion County, AL",Aug-10(p),13.1
PA010700,01,095,"Marshall County, AL",Aug-10(p),8.2
CN010970,01,097,"Mobile County, AL",Aug-10(p),10.2
CN010990,01,099,"Monroe County, AL",Aug-10(p),16.2
CN011010,01,101,"Montgomery County, AL",Aug-10(p),9.2
PA010750,01,103,"Morgan County, AL",Aug-10(p),9.3
CN011050,01,105,"Perry County, AL",Aug-10(p),16.0
CN011070,01,107,"Pickens County, AL",Aug-10(p),11.4
CN011090,01,109,"Pike County, AL",Aug-10(p),7.5
CN011110,01,111,"Randolph County, AL",Aug-10(p),12.4
CN011130,01,113,"Russell County, AL",Aug-10(p),10.7
CN011150,01,115,"St. Clair County, AL",Aug-10(p),9.0
PA011100,01,117,"Shelby County, AL",Aug-10(p),6.8
CN011190,01,119,"Sumter County, AL",Aug-10(p),14.7
PA010800,01,121,"Talladega County, AL",Aug-10(p),11.4
CN011230,01,123,"Tallapoosa County, AL",Aug-10(p),12.2
PS010220,01,125,"Tuscaloosa County, AL",Aug-10(p),7.6
PA010850,01,127,"Walker County, AL",Aug-10(p),10.3
CN011290,01,129,"Washington County, AL",Aug-10(p),13.8
CN011310,01,131,"Wilcox County, AL",Aug-10(p),21.3
CN011330,01,133,"Winston County, AL",Aug-10(p),14.3
CN020130,02,013,"Aleutians East Borough, AK",Aug-10(p),6.2
CN020100,02,016,"Aleutians West Census Area, AK",Aug-10(p),4.9
CN020200,02,020,"Anchorage Borough/municipality, AK",Aug-10(p),6.6
CN020500,02,050,"Bethel Census Area, AK",Aug-10(p),15.1
CN020600,02,060,"Bristol Bay Borough, AK",Aug-10(p),1.8
CN020680,02,068,"Denali Borough, AK",Aug-10(p),3.3
CN020700,02,070,"Dillingham Census Area, AK",Aug-10(p),7.2
CN020900,02,090,"Fairbanks North Star Borough, AK",Aug-10(p),6.3
CN021000,02,100,"Haines Borough, AK",Aug-10(p),4.3
CN021050,02,105,"Hoonah-Angoon Census Area, AK",Aug-10(p),9.2
CN021100,02,110,"Juneau Borough/city, AK",Aug-10(p),5.5
CN021220,02,122,"Kenai Peninsula Borough, AK",Aug-10(p),8.3
CN021300,02,130,"Ketchikan Gateway Borough, AK",Aug-10(p),5.5
CN021500,02,150,"Kodiak Island Borough, AK",Aug-10(p),5.8
CN021640,02,164,"Lake and Peninsula Borough, AK",Aug-10(p),6.2
CN021700,02,170,"Matanuska-Susitna Borough, AK",Aug-10(p),7.8
CN021800,02,180,"Nome Census Area, AK",Aug-10(p),14.1
CN021850,02,185,"North Slope Borough, AK",Aug-10(p),5.5
CN021880,02,188,"Northwest Arctic Borough, AK",Aug-10(p),13.3
CN022010,02,201,"Prince of Wales-Outer Ketchikan Census Area, AK",Aug-10(p),13.1
CN022200,02,220,"Sitka Borough/city, AK",Aug-10(p),5.2
CN022300,02,230,"Skagway Borough/municipality, AK",Aug-10(p),2.7
CN022400,02,240,"Southeast Fairbanks Census Area, AK",Aug-10(p),8.7
CN022610,02,261,"Valdez-Cordova Census Area, AK",Aug-10(p),5.5
CN022700,02,270,"Wade Hampton Census Area, AK",Aug-10(p),21.0
CN022800,02,280,"Wrangell-Petersburg Census Area, AK",Aug-10(p),6.7
CN022820,02,282,"Yakutat Borough/city, AK",Aug-10(p),7.7
CN022900,02,290,"Yukon-Koyukuk Census Area, AK",Aug-10(p),13.4
PA040800,04,001,"Apache County, AZ",Aug-10(p),16.3
PA040400,04,003,"Cochise County, AZ",Aug-10(p),8.4
PA040600,04,005,"Coconino County, AZ",Aug-10(p),8.1
CN040070,04,007,"Gila County, AZ",Aug-10(p),10.8
CN040090,04,009,"Graham County, AZ",Aug-10(p),13.0
CN040110,04,011,"Greenlee County, AZ",Aug-10(p),10.5
CN040120,04,012,"La Paz County, AZ",Aug-10(p),10.2
CN040130,04,013,"Maricopa County, AZ",Aug-10(p),8.9
PA040900,04,015,"Mohave County, AZ",Aug-10(p),11.1
PA040550,04,017,"Navajo County, AZ",Aug-10(p),15.6
CN040190,04,019,"Pima County, AZ",Aug-10(p),9.0
PA040450,04,021,"Pinal County, AZ",Aug-10(p),12.2
CN040230,04,023,"Santa Cruz County, AZ",Aug-10(p),18.5
PA040700,04,025,"Yavapai County, AZ",Aug-10(p),10.1
PA040500,04,027,"Yuma County, AZ",Aug-10(p),30.2
CN050010,05,001,"Arkansas County, AR",Aug-10(p),14.9
CN050030,05,003,"Ashley County, AR",Aug-10(p),9.7
CN050050,05,005,"Baxter County, AR",Aug-10(p),8.5
PA050250,05,007,"Benton County, AR",Aug-10(p),6.5
CN050090,05,009,"Boone County, AR",Aug-10(p),7.0
CN050110,05,011,"Bradley County, AR",Aug-10(p),8.7
CN050130,05,013,"Calhoun County, AR",Aug-10(p),7.0
CN050150,05,015,"Carroll County, AR",Aug-10(p),5.7
CN050170,05,017,"Chicot County, AR",Aug-10(p),9.9
CN050190,05,019,"Clark County, AR",Aug-10(p),8.9
CN050210,05,021,"Clay County, AR",Aug-10(p),10.7
CN050230,05,023,"Cleburne County, AR",Aug-10(p),6.6
CN050250,05,025,"Cleveland County, AR",Aug-10(p),6.9
CN050270,05,027,"Columbia County, AR",Aug-10(p),9.9
CN050290,05,029,"Conway County, AR",Aug-10(p),7.9
PA050300,05,031,"Craighead County, AR",Aug-10(p),7.0
CN050330,05,033,"Crawford County, AR",Aug-10(p),7.5
PA050700,05,035,"Crittenden County, AR",Aug-10(p),9.8
CN050370,05,037,"Cross County, AR",Aug-10(p),7.9
CN050390,05,039,"Dallas County, AR",Aug-10(p),10.6
CN050410,05,041,"Desha County, AR",Aug-10(p),10.6
CN050430,05,043,"Drew County, AR",Aug-10(p),10.3
CN050450,05,045,"Faulkner County, AR",Aug-10(p),7.3
CN050470,05,047,"Franklin County, AR",Aug-10(p),6.3
CN050490,05,049,"Fulton County, AR",Aug-10(p),7.1
PA050400,05,051,"Garland County, AR",Aug-10(p),7.9
CN050530,05,053,"Grant County, AR",Aug-10(p),6.8
CN050550,05,055,"Greene County, AR",Aug-10(p),9.4
CN050570,05,057,"Hempstead County, AR",Aug-10(p),8.9
CN050590,05,059,"Hot Spring County, AR",Aug-10(p),7.3
CN050610,05,061,"Howard County, AR",Aug-10(p),7.9
CN050630,05,063,"Independence County, AR",Aug-10(p),8.0
CN050650,05,065,"Izard County, AR",Aug-10(p),9.0
CN050670,05,067,"Jackson County, AR",Aug-10(p),10.1
CN050690,05,069,"Jefferson County, AR",Aug-10(p),10.1
CN050710,05,071,"Johnson County, AR",Aug-10(p),7.5
CN050730,05,073,"Lafayette County, AR",Aug-10(p),9.7
CN050750,05,075,"Lawrence County, AR",Aug-10(p),9.5
CN050770,05,077,"Lee County, AR",Aug-10(p),9.2
CN050790,05,079,"Lincoln County, AR",Aug-10(p),9.2
