Country Name	Country Code	2005	2006	2007	2008	2009	2005totalpop	2009totalpop	2005prop	2009prop
Afghanistan	AFG	6136532.056	6406378.748	6686309.645	6976672.199	7277825.263	26797083.21	29802724.26	0.229	0.2442
Albania	ALB	1393539.392	1418523.654	1443436.646	1468545.555	1494336.346	3110579	3155271	0.448	0.4736
Algeria	DZA	20796920.66	21324935.03	21865604.89	22418348.44	22982156.54	32854535	34895470	0.633	0.6586
American Samoa	ASM	57395.38272	58604.20122	59814.00603	61030.34975	62258.24404	62864.6032	67189.98925	0.913	0.9266
Andorra	AND	70173.936	71769.5824	73452.484	74524.2966	75609.72549	77712	85168	0.903	0.887771528
Angola	AGO	8973498.06	9381921.939	9795458.43	10217718.76	10654636.03	16617589	18497632	0.54	0.576
Antigua and Barbuda	ATG	25644.938	25908.1944	26154.7614	26388.7164	26612.88	83534	87600	0.307	0.3038
Argentina	ARG	35400685.14	35820497.85	36252246.87	36692341.6	37134818.67	38731603	40276376	0.914	0.922
Armenia	ARM	1964616.925	1964437.695	1964524.53	1965027.758	1966306.148	3064925	3082951	0.641	0.6378
Aruba	ABW	47082.776	47918.8868	48671.0272	49331.849	49895.3732	101036	106523	0.466	0.4684
Australia	AUS	17988213.6	18292804.02	18661806	19018579.32	19451161.08	20394800	21874900	0.882	0.8892
Austria	AUT	5475144.5	5526033.293	5556547.487	5599079.502	5641876.532	8233300	8364095	0.665	0.674535205
Azerbaijan	AZE	4321802.75	4381421.62	4443397.14	4506707.92	4571440.66	8391850	8781100	0.515	0.5206
"Bahamas, The"	BHS	270487.176	274515.983	278563.515	282628.116	286697.207	325496	341713	0.831	0.839
Bahrain	BHR	643173.648	657570.8568	672058.688	686547.842	700928.4888	727572	791473	0.884	0.8856
Bangladesh	BGD	39352364.02	40700237.22	42056819.7	43424034.74	44805374.46	153122039	162220762	0.257	0.2762
Barbados	BRB	97248.384	98712.432	100188.1248	101672.8752	103167.5904	253251	255872	0.384	0.4032
Belarus	BLR	7057977.059	7067741.5	7086340.8	7111552.41	7138999.675	9775591.494	9663000	0.722	0.738797441
Belgium	BEL	10195726.45	10265272.73	10343056.38	10425730.37	10509064.74	10478650	10788760	0.973	0.97407531
Belize	BLZ	146578.4555	152904.4754	159488	166525.7	173857.6887	291800	333200	0.50232507	0.521781779
Benin	BEN	3147050.4	3283796.032	3424397.856	3568779.432	3716953.76	7867626	8934985	0.4	0.416
Bermuda	BMU	63570	63800	64000	64200	64400	63570	64400	1	1
Bhutan	BTN	201450.09	213530.8224	225256.528	236804.8472	248530.194	649839	697335	0.31	0.3564
Bolivia	BOL	5894883.804	6048183.892	6202351.144	6357399.305	6513432.744	9182062	9862860	0.642	0.6604
Bosnia and Herzegovina	BIH	1728042.218	1750072.646	1770562.926	1789958.64	1808711.236	3781274	3766579	0.457	0.4802
Botswana	BWA	1053775.65	1082720.879	1113124.973	1144604.488	1176497.252	1839050	1949780	0.573	0.6034
Brazil	BRA	156674841.8	159294933.6	161830139.7	164289214.8	166688557.2	186074634	193733795	0.842	0.8604
Brunei Darussalam	BRN	272005.125	279080.6148	286252.9176	293503.896	300804.4362	370075	399687	0.735	0.7526
Bulgaria	BGR	5433480	5427809.1	5423112.912	5420233.845	5419104.181	7740000	7585131	0.702	0.714437784
Burkina Faso	BFA	2515734.306	2662841.563	2817682.468	2979747.71	3148234.015	13747182	15756927	0.183	0.1998
Burundi	BDI	700922.255	745142.216	791636.081	839722.416	888456.31	7378129	8303330	0.095	0.107
Cambodia	KHM	2731612.047	2863458.434	2999412.515	3139568.925	3283828.404	13866051	14805358	0.197	0.2218
Cameroon	CMR	9678080.136	10052718.35	10438369.32	10834567.33	11240563.19	17823352	19521645	0.543	0.5758
Canada	CAN	25881912	26184498	26479728	26782365.6	27160619.5	32312000	33739900	0.801	0.805
Cape Verde	CPV	274049.412	281780.7426	289522.9696	297308.2464	305183.7816	477438	505606	0.574	0.6036
Cayman Islands	CYM	44403	52818.5	53528.5	54248.044	54977.26031	44403	54977.26031	1	1
Central African Republic	CAF	1562665.404	1598474.488	1635694.233	1674087.665	1713236.598	4101484	4422397	0.381	0.3874
Chad	TCD	2534703.776	2660031.438	2785330.148	2911766.356	3041349.653	10018592	11206152	0.253	0.2714
Channel Islands	CHI	45635.243	45944.1984	46249.4224	46549.6072	46843.11	148649	149850	0.307	0.3126
Chile	CHL	14276603.87	14471424.57	14666416.62	14861415.15	15056019.11	16297493	16970265	0.876	0.8872
China	CHN	526702880	541451260	556147470	570926305	585842400	1303720000	1331460000	0.404	0.44
