Country Name	Country Code	2005	2006	2007	2008	2009	pctchange
Afghanistan	AFG	6136532.056	6406378.748	6686309.645	6976672.199	7277825.263	18.59834182
Albania	ALB	1393539.392	1418523.654	1443436.646	1468545.555	1494336.346	7.233161415
Algeria	DZA	20796920.66	21324935.03	21865604.89	22418348.44	22982156.54	10.50749735
American Samoa	ASM	57395.38272	58604.20122	59814.00603	61030.34975	62258.24404	8.472565365
Andorra	AND	70173.936	71769.5824	73452.484	74524.2966	75609.72549	7.746165881
Angola	AGO	8973498.06	9381921.939	9795458.43	10217718.76	10654636.03	18.73447747
Antigua and Barbuda	ATG	25644.938	25908.1944	26154.7614	26388.7164	26612.88	3.774397895
Argentina	ARG	35400685.14	35820497.85	36252246.87	36692341.6	37134818.67	4.898587479
Armenia	ARM	1964616.925	1964437.695	1964524.53	1965027.758	1966306.148	0.085982299
Aruba	ABW	47082.776	47918.8868	48671.0272	49331.849	49895.3732	5.973728482
Australia	AUS	17988213.6	18292804.02	18661806	19018579.32	19451161.08	8.132811365
Austria	AUT	5475144.5	5526033.293	5556547.487	5599079.502	5641876.532	3.045253536
Azerbaijan	AZE	4321802.75	4381421.62	4443397.14	4506707.92	4571440.66	5.776244878
"Bahamas, The"	BHS	270487.176	274515.983	278563.515	282628.116	286697.207	5.992901859
Bahrain	BHR	643173.648	657570.8568	672058.688	686547.842	700928.4888	8.979665286
Bangladesh	BGD	39352364.02	40700237.22	42056819.7	43424034.74	44805374.46	13.85688148
Barbados	BRB	97248.384	98712.432	100188.1248	101672.8752	103167.5904	6.0866887
Belarus	BLR	7057977.059	7067741.5	7086340.8	7111552.41	7138999.675	1.147958057
Belgium	BEL	10195726.45	10265272.73	10343056.38	10425730.37	10509064.74	3.073231656
Belize	BLZ	146578.4555	152904.4754	159488	166525.7	173857.6887	18.61067032
Benin	BEN	3147050.4	3283796.032	3424397.856	3568779.432	3716953.76	18.1091272
Bermuda	BMU	63570	63800	64000	64200	64400	1.305647318
Bhutan	BTN	201450.09	213530.8224	225256.528	236804.8472	248530.194	23.3706046
Bolivia	BOL	5894883.804	6048183.892	6202351.144	6357399.305	6513432.744	10.49297935
Bosnia and Herzegovina	BIH	1728042.218	1750072.646	1770562.926	1789958.64	1808711.236	4.668231885
Botswana	BWA	1053775.65	1082720.879	1113124.973	1144604.488	1176497.252	11.64589465
Brazil	BRA	156674841.8	159294933.6	161830139.7	164289214.8	166688557.2	6.391399712
Brunei Darussalam	BRN	272005.125	279080.6148	286252.9176	293503.896	300804.4362	10.58778256
Bulgaria	BGR	5433480	5427809.1	5423112.912	5420233.845	5419104.181	-0.26457849
Burkina Faso	BFA	2515734.306	2662841.563	2817682.468	2979747.71	3148234.015	25.14175313
Burundi	BDI	700922.255	745142.216	791636.081	839722.416	888456.31	26.75532895
Cambodia	KHM	2731612.047	2863458.434	2999412.515	3139568.925	3283828.404	20.21576812
Cameroon	CMR	9678080.136	10052718.35	10438369.32	10834567.33	11240563.19	16.14455587
Canada	CAN	25881912	26184498	26479728	26782365.6	27160619.5	4.940544964
Cape Verde	CPV	274049.412	281780.7426	289522.9696	297308.2464	305183.7816	11.36085984
